accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ
-1.539,1.271,0.291,297.729,-13.489,-6.348
-1.497,0.720,0.221,290.039,-42.236,-48.706
-1.527,0.661,0.339,266.724,-71.350,-80.750
-1.578,0.671,0.294,255.676,-75.562,-102.173
-1.737,0.873,-0.014,246.704,-90.759,-142.761
-1.865,0.955,0.135,218.628,-154.541,-197.693
-1.953,0.968,0.365,210.022,-182.617,-227.539
-1.958,0.657,1.281,211.853,-227.600,-298.035
-1.853,0.268,2.328,247.620,-206.848,-362.183
-1.856,0.051,2.380,257.874,-145.752,-391.907
-1.918,-0.427,2.012,225.159,-33.569,-441.101
-2.041,-0.128,1.548,167.603,39.795,-438.110
-2.413,0.701,0.793,144.287,83.923,-453.308
-2.596,0.828,0.588,131.104,71.777,-495.239
-3.094,0.742,1.006,93.018,12.207,-598.083
-3.452,0.516,1.252,96.130,7.568,-647.583
-3.932,-0.083,1.582,121.094,36.987,-717.285
-4.000,-0.705,1.359,180.481,112.549,-738.403
-3.922,-0.990,0.871,200.867,155.701,-743.103
-3.245,-1.673,-0.026,203.247,177.246,-706.482
-2.403,-1.973,-0.252,157.593,96.008,-629.456
-2.090,-2.405,-0.147,137.695,49.500,-605.530
-1.326,-3.207,0.121,112.122,-17.334,-444.824
-0.730,-3.168,0.489,131.714,-64.514,-198.181
-0.547,-2.542,0.754,125.244,-90.454,11.169
-0.335,-1.001,1.140,100.159,-80.994,72.937
-0.255,-0.159,1.109,37.476,-42.358,128.906
-0.222,0.173,1.008,-9.277,-16.418,157.227
-0.182,0.791,0.947,-29.114,-15.869,162.109
-0.125,1.004,1.093,-56.091,-14.954,120.728
-0.097,0.732,0.964,-43.335,4.456,24.231
-0.128,0.388,0.814,-27.100,10.742,-1.221
-0.148,0.016,0.551,-3.967,10.254,-2.686
-0.179,0.077,0.385,-3.601,-2.380,22.095
-0.181,0.138,0.425,-7.996,-16.479,30.334
-0.188,0.301,0.878,-10.803,-51.025,37.537
-0.160,0.611,1.426,-2.502,-59.631,35.706
-0.154,0.646,1.557,0.916,-44.739,22.339
-0.189,0.239,1.323,9.644,6.348,-14.465
-0.199,-0.122,0.876,18.799,24.292,-16.418
-0.187,-0.160,0.791,20.081,16.541,-6.836
-0.190,0.000,0.716,10.254,3.723,17.212
-0.192,0.278,0.915,1.160,-14.526,26.794
-0.190,0.336,1.073,-2.380,-19.897,22.339
-0.177,0.356,1.232,-1.831,-12.451,8.728
-0.178,0.307,1.199,-0.061,-2.869,0.977
-0.187,0.094,0.942,-1.892,13.123,-8.301
-0.189,0.034,0.841,-3.784,6.531,-0.793
-0.189,0.086,0.858,-4.333,1.648,4.639
-0.192,0.141,0.896,-2.747,-3.235,8.362
-0.197,0.095,1.000,-0.916,-8.118,7.446
-0.190,0.126,1.062,8.240,-6.775,11.902
-0.193,0.190,1.090,9.888,-1.831,10.864
-0.200,0.188,0.931,8.301,7.874,8.850
-0.197,0.218,0.896,8.240,6.165,9.216
-0.203,0.183,0.914,4.272,0.854,5.310
-0.201,0.137,0.913,0.671,-1.587,4.089
-0.207,0.110,0.979,-0.977,-3.479,5.188
-0.206,0.102,1.020,-0.854,-1.526,6.958

-0.182,0.688,1.975,25.452,-29.968,-33.386
-0.215,0.552,2.104,39.246,-20.752,-49.805
-0.275,0.329,2.318,63.965,3.174,-67.139
-0.354,0.558,2.641,94.238,27.893,-68.298
-0.398,0.708,2.847,110.535,43.823,-78.247
-0.622,0.461,2.951,154.419,102.905,-127.441
-0.739,0.085,2.720,186.951,139.160,-150.757
-0.958,-0.534,2.429,261.719,173.035,-161.865
-1.044,-0.817,2.369,297.852,197.571,-145.996
-1.210,-1.145,2.130,334.290,210.937,-125.732
-1.400,-1.293,1.902,294.556,236.389,-47.974
-1.606,-1.504,1.913,222.961,249.268,11.963
-1.728,-1.595,2.109,178.589,252.258,43.213
-2.057,-1.761,2.176,122.559,294.678,114.624
-2.218,-1.842,1.987,115.967,339.050,196.533
-2.677,-1.575,1.533,136.414,350.464,251.892
-3.001,-1.423,0.916,169.312,363.708,346.680
-3.174,-1.480,0.722,144.348,364.807,387.268
-3.452,-1.353,0.277,85.144,370.789,477.539
-3.588,-0.982,-0.166,84.412,353.027,560.730
-3.685,-0.799,-0.305,87.219,341.370,591.919
-3.840,-0.273,-0.463,151.611,298.340,650.024
-3.828,0.413,-0.257,208.374,235.413,684.937
-3.781,0.594,-0.058,228.821,204.895,684.998
-3.766,0.608,0.157,265.137,156.372,671.875
-3.762,0.803,0.220,295.471,121.216,693.298
-3.690,1.621,0.071,310.974,102.417,713.135
-3.188,2.000,0.312,326.538,29.114,698.486
-2.903,2.308,0.476,310.791,6.897,662.415
-2.291,1.898,0.560,282.776,9.949,480.957
-2.077,1.117,0.228,291.199,19.104,390.564
-2.005,1.005,0.115,297.363,3.967,374.634
-1.651,1.022,0.474,298.889,-56.335,342.590
-2.093,1.093,0.839,263.977,-67.505,286.865
-1.861,1.151,0.791,334.351,-40.283,266.968
-2.026,1.261,0.198,340.271,-20.935,196.899
-2.020,1.193,-0.037,340.454,-37.598,128.235
-2.104,1.550,0.043,325.012,-125.610,104.614
-2.006,1.342,0.738,298.828,-204.712,15.991
-1.932,1.306,1.002,283.142,-217.102,-61.951
-1.805,1.083,1.139,277.954,-200.073,-105.042
-1.753,0.442,0.857,269.653,-167.358,-184.326
-1.726,0.311,0.846,249.451,-159.058,-218.323
-1.698,0.325,0.925,240.723,-150.940,-231.506
-1.739,0.426,0.898,245.361,-115.845,-259.888
-1.732,0.154,0.967,253.052,-83.496,-302.124
-1.686,0.153,1.001,261.963,-64.514,-315.430
-1.635,0.326,0.928,270.508,-14.709,-342.712
-1.803,0.523,0.872,267.578,34.851,-388.977
-1.930,0.570,0.658,266.663,63.232,-418.701
-2.351,0.986,0.725,227.722,69.519,-483.276
-3.112,1.262,0.833,208.862,84.106,-581.604
-3.593,1.421,0.888,196.289,91.125,-638.794
-4.000,1.627,0.780,203.491,118.286,-761.780
-4.000,1.691,0.701,208.557,128.052,-824.890
-4.000,0.026,-0.258,269.775,167.358,-1001.099
-4.000,-2.649,-1.759,268.738,146.912,-1166.138
-4.000,-4.000,-2.151,215.759,58.228,-1212.158
-2.731,-4.000,-0.626,191.040,-228.516,-722.534
-1.413,-4.000,1.288,190.674,-329.163,-55.908
-0.910,-0.945,2.869,125.671,-272.034,292.175
-0.415,0.960,3.050,20.813,-89.050,389.893
-0.376,1.635,2.703,-10.925,-5.859,328.369
-0.207,1.894,1.499,-61.279,112.122,183.228
-0.212,1.459,0.948,-69.153,129.883,-29.358
-0.249,-0.018,0.292,-64.209,107.300,-59.937
-0.203,-0.325,0.095,-15.137,39.978,-29.541
-0.207,-0.188,0.463,-5.554,-8.667,9.949
-0.203,0.143,1.218,-10.498,-41.016,15.991
-0.192,0.453,1.328,-11.108,-6.958,14.954
-0.193,0.402,1.197,-7.996,9.216,2.197
-0.209,0.073,1.002,1.465,17.700,-18.372
-0.210,-0.056,0.855,13.245,19.470,-12.573
-0.220,-0.010,0.722,18.921,18.005,-1.160
-0.235,-0.051,0.658,23.010,9.827,-1.099
-0.211,-0.216,0.797,19.348,-3.174,1.526
-0.213,-0.206,0.863,14.893,-6.226,18.860
-0.214,-0.007,0.986,12.878,-5.981,24.536
-0.206,0.132,1.023,5.188,0.183,22.583
-0.198,0.131,1.000,1.953,3.784,17.883
-0.176,0.083,0.975,-3.723,6.775,11.108
-0.170,0.120,0.912,-7.141,13.977,11.475
-0.174,0.241,0.697,-9.766,13.855,8.423
-0.191,0.107,0.747,-14.221,-0.427,-2.808
-0.191,0.022,0.775,-10.132,-4.395,-3.357
-0.181,-0.022,0.963,-0.061,-14.893,-0.305
-0.182,0.040,1.048,5.005,-8.911,5.127
-0.181,0.154,0.979,9.949,-2.014,5.859
-0.184,0.099,0.960,7.996,-1.648,0.183
-0.185,0.088,0.946,1.770,-1.648,2.014
-0.180,0.105,1.000,-2.502,-4.089,1.282
-0.188,0.057,1.017,-4.333,-1.770,-0.244
-0.193,0.055,0.951,-2.991,-2.136,0.488
-0.193,0.022,1.075,-3.784,-7.629,0.488
-0.193,0.022,1.066,-3.357,2.197,4.761
-0.189,0.115,0.891,-1.221,3.723,6.897
-0.188,0.109,0.924,-3.784,-4.333,4.700
-0.186,0.122,1.025,-1.404,-7.263,4.272
-0.190,0.128,1.076,-0.427,-6.653,3.235
-0.194,0.052,1.105,1.770,-1.465,-0.549

-0.309,0.075,2.229,26.062,1.953,-73.181
-0.347,-0.029,2.362,26.978,15.625,-78.186
-0.464,-0.041,2.564,25.330,53.589,-81.726
-0.547,0.048,2.613,41.748,96.680,-92.346
-0.641,0.063,2.607,56.946,115.723,-100.159
-0.769,-0.333,2.412,105.103,158.020,-120.361
-0.832,-0.651,2.037,148.132,190.857,-107.788
-0.957,-0.664,1.988,169.739,192.444,-88.623
-1.088,-0.400,2.172,209.778,191.833,-39.185
-1.154,-0.335,2.329,207.336,217.590,-18.005
-1.356,-0.692,2.653,178.833,240.784,-14.893
-1.763,-1.113,2.514,126.892,326.416,13.794
-1.932,-1.170,1.689,97.961,400.269,89.050
-2.092,-1.008,1.452,89.722,408.936,130.859
-2.271,-0.750,1.395,69.275,408.020,192.932
